Date,Open,High,Low,Close
12/13/2017 11:30,16846.38,16847.02,16827.2,16842.25
12/13/2017 11:45,16842.25,16846.91,16829.76,16837.03
12/13/2017 12:00,16837.03,17111.92,16837.03,17076.06
12/13/2017 12:15,17076.06,17187.55,17065.09,17170.87
12/13/2017 12:30,17170.87,17269.55,17134.87,17267.25
12/13/2017 12:45,17267.25,17335.73,17188.39,17204.74
12/13/2017 13:00,17204.74,17209.09,17126.62,17214.6
12/13/2017 13:15,17214.6,17289.74,17214.6,17249.13
12/13/2017 13:30,17249.13,17249.13,17175.81,17189.44
12/13/2017 13:45,17189.44,17208.98,17131.65,17136.15
12/13/2017 14:00,17136.15,17164.41,17134.24,17178.17
12/13/2017 14:15,17178.17,17267.41,17178.17,17190.77
12/13/2017 14:30,17190.77,17190.92,17163.47,17173.1
12/13/2017 14:45,17173.1,17185.96,17090.58,17125.3
12/13/2017 15:00,17125.3,17220.39,17125.3,17217.67
12/13/2017 15:15,17217.67,17224.95,17152.73,17137.22
12/13/2017 15:30,17137.22,17150.43,17082.61,17084.07
12/13/2017 15:45,17084.07,17084.07,17034.05,17013.18
12/13/2017 16:00,17013.18,17013.18,16934,16979.95
12/13/2017 16:15,16979.95,17014.03,16958.35,16985.87
12/13/2017 16:30,16985.87,16985.87,16847.59,16844.4
12/13/2017 16:45,16844.4,16844.4,16694.98,16770.32
12/13/2017 17:00,16770.32,16770.32,16543.05,16627.22
12/13/2017 17:15,16627.22,16632.21,16551.71,16544.5
12/13/2017 17:30,16544.5,16544.5,16384.56,16512.96
12/13/2017 17:45,16512.96,16682.22,16512.96,16534.98
12/13/2017 18:00,16534.98,16534.98,16249.33,16279.13
12/13/2017 18:15,16279.13,16285.91,15971.24,15935.97
12/13/2017 18:30,15935.97,16127.54,15799.87,16112.02
12/13/2017 18:45,16112.02,16343.12,16079.37,16272.64
12/13/2017 19:00,16272.64,16352.77,16146.95,16183.43
12/13/2017 19:15,16183.43,16482.25,16183.43,16414.93
12/13/2017 19:30,16414.93,16414.93,16292.33,16410.4
12/13/2017 19:45,16410.4,16463.42,16375.16,16453.57
12/13/2017 20:00,16453.57,16515.68,16446.98,16390.31
12/13/2017 20:15,16390.31,16403.95,16324.81,16406.03
12/13/2017 20:30,16406.03,16406.03,16283.38,16276.89
12/13/2017 20:45,16276.89,16287.48,16247.62,16231.66
12/13/2017 21:00,16231.66,16649.17,16231.66,16621.06
12/13/2017 21:15,16621.06,16666.17,16577.79,16651.09
12/13/2017 21:30,16651.09,16673.79,16634.73,16655.71
12/13/2017 21:45,16655.71,16733.4,16645.12,16726.23
12/13/2017 22:00,16726.23,16758.05,16674.95,16667.45
12/13/2017 22:15,16667.45,16667.45,16579.99,16628.17
,,,,
This data was produced from the CoinDesk price page.,,,,
http://www.coindesk.com/price/,,,,
